number,effect_name,batch_guess,family_guess,output_path,flat_browse_path,file_size_mb,marked_status,rating,notes
206,animated_contact_sheet_tiles_v02,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/206__animated_contact_sheet_tiles_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_206__animated_contact_sheet_tiles_v02.mp4,7.8,,,
206,vertical_fault_memory,M_201_225,compression_material,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/206__vertical_fault_memory.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_206__vertical_fault_memory.mp4,61.1,,,
207,scanline_terrain_extrusion_v02,M_201_225,terrain_relief,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/207__scanline_terrain_extrusion_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_207__scanline_terrain_extrusion_v02.mp4,5.25,,,
207,thermal_slab_echo,M_201_225,depth_cards_panels,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/207__thermal_slab_echo.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_207__thermal_slab_echo.mp4,82.7,,,
208,broken_poster_collage_v02,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/208__broken_poster_collage_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_208__broken_poster_collage_v02.mp4,3.32,,,
208,monochrome_pressure_wave,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/208__monochrome_pressure_wave.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_208__monochrome_pressure_wave.mp4,297.2,,,
209,cyan_red_lens_split,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/209__cyan_red_lens_split.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_209__cyan_red_lens_split.mp4,20.02,,,
209,tunnel_zoom_feedback_v02,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/209__tunnel_zoom_feedback_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_209__tunnel_zoom_feedback_v02.mp4,0.97,,,
210,film_gate_collapse,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/210__film_gate_collapse.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_210__film_gate_collapse.mp4,243.69,,,
210,ghost_frame_echo_stack_v02,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/210__ghost_frame_echo_stack_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_210__ghost_frame_echo_stack_v02.mp4,2.09,,,
211,topographic_scan_melt,M_201_225,terrain_relief,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/211__topographic_scan_melt.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_211__topographic_scan_melt.mp4,220.42,,,
211,warped_grid_melt_v02,M_201_225,liquid_refraction,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/211__warped_grid_melt_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_211__warped_grid_melt_v02.mp4,3.92,,,
212,asymmetrical_prism_panels_v02,M_201_225,depth_cards_panels,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/212__asymmetrical_prism_panels_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_212__asymmetrical_prism_panels_v02.mp4,1.89,,,
212,posterized_hazard_bloom,M_201_225,cloth_smear,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/212__posterized_hazard_bloom.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_212__posterized_hazard_bloom.mp4,441.36,,,
213,deep_z_glass_hallway,M_201_225,fog_bloom_glass,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/213__deep_z_glass_hallway.mp4,,20.42,,,
213,image_plane_parallax_stack_v02,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/213__image_plane_parallax_stack_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_213__image_plane_parallax_stack_v02.mp4,2.43,,,
214,compression_damage_storm_v02,M_201_225,compression_material,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/214__compression_damage_storm_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_214__compression_damage_storm_v02.mp4,0.99,,,
215,strobe_cutout_masks_v02,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/215__strobe_cutout_masks_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_215__strobe_cutout_masks_v02.mp4,3.33,,,
216,liquid_lens_displacement_v02,M_201_225,liquid_refraction,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/216__liquid_lens_displacement_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_216__liquid_lens_displacement_v02.mp4,1.67,,,
217,threshold_architecture_v02,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/217__threshold_architecture_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_217__threshold_architecture_v02.mp4,2.66,,,
218,chromatic_object_drag_v02,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/218__chromatic_object_drag_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_218__chromatic_object_drag_v02.mp4,2.03,,,
219,orbital_crop_windows_v02,M_201_225,depth_cards_panels,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/219__orbital_crop_windows_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_219__orbital_crop_windows_v02.mp4,3.71,,,
220,multi_depth_duplicate_drift_v02,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/220__multi_depth_duplicate_drift_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_220__multi_depth_duplicate_drift_v02.mp4,2.77,,,
221,vhs_signal_collapse_v02,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/221__vhs_signal_collapse_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_221__vhs_signal_collapse_v02.mp4,2.34,,,
222,cell_noise_displacement_storm_v02,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/222__cell_noise_displacement_storm_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_222__cell_noise_displacement_storm_v02.mp4,11.87,,,
223,matte_box_frame_rupture_v02,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/223__matte_box_frame_rupture_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_223__matte_box_frame_rupture_v02.mp4,2.42,,,
224,procedural_shutter_wall_v02,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/224__procedural_shutter_wall_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_224__procedural_shutter_wall_v02.mp4,1.7,,,
225,final_rupture_mega_composite_v02,M_201_225,hybrid_composite,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/225__final_rupture_mega_composite_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_225__final_rupture_mega_composite_v02.mp4,2.26,,,
226,depth_cutout_theater,N_226_250,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/226__depth_cutout_theater.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_226__depth_cutout_theater.mp4,1.25,,,
227,radar_window_stack,N_226_250,depth_cards_panels,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/227__radar_window_stack.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_227__radar_window_stack.mp4,2.24,,,
228,shattered_mirror_walk,N_226_250,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/228__shattered_mirror_walk.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_228__shattered_mirror_walk.mp4,1.16,,,
229,temporal_tile_memory,N_226_250,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/229__temporal_tile_memory.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_229__temporal_tile_memory.mp4,2.78,,,
230,pressure_ripple_mask,N_226_250,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/230__pressure_ripple_mask.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_230__pressure_ripple_mask.mp4,2.02,,,
231,offset_print_machine,N_226_250,hybrid_composite,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/231__offset_print_machine.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_231__offset_print_machine.mp4,1.61,,,
232,rotating_viewfinder_grid,N_226_250,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/232__rotating_viewfinder_grid.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_232__rotating_viewfinder_grid.mp4,2.76,,,
233,blackout_signal_sculpture,N_226_250,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/233__blackout_signal_sculpture.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_233__blackout_signal_sculpture.mp4,0.83,,,
234,glass_page_turn_feedback,N_226_250,fog_bloom_glass,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/234__glass_page_turn_feedback.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_234__glass_page_turn_feedback.mp4,1.99,,,
235,scan_wall_depth_slices,N_226_250,scan_waterfall,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/235__scan_wall_depth_slices.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_235__scan_wall_depth_slices.mp4,1.08,,,
236,ghosted_polygon_windows,N_226_250,depth_cards_panels,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/236__ghosted_polygon_windows.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_236__ghosted_polygon_windows.mp4,3.53,,,
237,magnetic_slit_drag,N_226_250,scan_waterfall,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/237__magnetic_slit_drag.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_237__magnetic_slit_drag.mp4,1.08,,,
238,index_card_echo_system,N_226_250,depth_cards_panels,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/238__index_card_echo_system.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_238__index_card_echo_system.mp4,10.67,,,
239,wireframe_damage_overlay,N_226_250,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/239__wireframe_damage_overlay.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_239__wireframe_damage_overlay.mp4,13.8,,,
240,compression_fault_curtain,N_226_250,scan_waterfall,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/240__compression_fault_curtain.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_240__compression_fault_curtain.mp4,8.91,,,
241,liquid_matte_tunnel,N_226_250,liquid_refraction,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/241__liquid_matte_tunnel.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_241__liquid_matte_tunnel.mp4,1.72,,,
242,negative_space_shutters,N_226_250,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/242__negative_space_shutters.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_242__negative_space_shutters.mp4,6.93,,,
243,satellite_panel_swarm,N_226_250,depth_cards_panels,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/243__satellite_panel_swarm.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_243__satellite_panel_swarm.mp4,6.55,,,
244,threshold_memory_bloom,N_226_250,cloth_smear,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/244__threshold_memory_bloom.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_244__threshold_memory_bloom.mp4,5.6,,,
245,deep_prism_signal_rack,N_226_250,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/245__deep_prism_signal_rack.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_245__deep_prism_signal_rack.mp4,6.96,,,
246,torn_contact_sheet_orbit,N_226_250,depth_cards_panels,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/246__torn_contact_sheet_orbit.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_246__torn_contact_sheet_orbit.mp4,4.82,,,
247,folded_frame_accordion,N_226_250,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/247__folded_frame_accordion.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_247__folded_frame_accordion.mp4,8.07,,,
248,cellular_lens_storm,N_226_250,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/248__cellular_lens_storm.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_248__cellular_lens_storm.mp4,7.96,,,
249,architectural_feedback_columns,N_226_250,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/249__architectural_feedback_columns.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_249__architectural_feedback_columns.mp4,6.69,,,
250,final_composite_machine_room,N_226_250,hybrid_composite,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/250__final_composite_machine_room.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_250__final_composite_machine_room.mp4,8.48,,,
251,kinetic_matte_sculpture,O_251_275,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/251__kinetic_matte_sculpture.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_251__kinetic_matte_sculpture.mp4,14.68,,,
252,sliding_glass_cassette,O_251_275,fog_bloom_glass,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/252__sliding_glass_cassette.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_252__sliding_glass_cassette.mp4,13.05,,,
253,temporal_archaeology_tiles,O_251_275,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/253__temporal_archaeology_tiles.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_253__temporal_archaeology_tiles.mp4,17.58,,,
254,depth_orbit_specimen_windows,O_251_275,depth_cards_panels,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/254__depth_orbit_specimen_windows.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_254__depth_orbit_specimen_windows.mp4,12.54,,,
255,torn_signal_cartography,O_251_275,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/255__torn_signal_cartography.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_255__torn_signal_cartography.mp4,12.94,,,
256,negative_film_punch_cards,O_251_275,depth_cards_panels,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/256__negative_film_punch_cards.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_256__negative_film_punch_cards.mp4,22.49,,,
257,rotating_shutter_cathedral,O_251_275,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/257__rotating_shutter_cathedral.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_257__rotating_shutter_cathedral.mp4,12.32,,,
258,magnetic_feedback_ribbons,O_251_275,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/258__magnetic_feedback_ribbons.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_258__magnetic_feedback_ribbons.mp4,9.5,,,
259,folded_light_table,O_251_275,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/259__folded_light_table.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_259__folded_light_table.mp4,5.59,,,
260,split_lens_machine,O_251_275,hybrid_composite,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/260__split_lens_machine.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_260__split_lens_machine.mp4,11.37,,,
261,compression_mosaic_faults,O_251_275,compression_material,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/261__compression_mosaic_faults.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_261__compression_mosaic_faults.mp4,23.8,,,
262,liquid_window_index,O_251_275,liquid_refraction,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/262__liquid_window_index.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_262__liquid_window_index.mp4,70.9,,,
263,radial_memory_projector,O_251_275,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/263__radial_memory_projector.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_263__radial_memory_projector.mp4,5.92,,,
264,threshold_column_grid,O_251_275,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/264__threshold_column_grid.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_264__threshold_column_grid.mp4,10.43,,,
265,scanning_mask_bloom,O_251_275,scan_waterfall,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/265__scanning_mask_bloom.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_265__scanning_mask_bloom.mp4,11.12,,,
266,nested_frame_turbine,O_251_275,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/266__nested_frame_turbine.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_266__nested_frame_turbine.mp4,11.15,,,
267,moving_contact_sheet_room,O_251_275,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/267__moving_contact_sheet_room.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_267__moving_contact_sheet_room.mp4,41.87,,,
268,pixel_stretch_loom,O_251_275,cloth_smear,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/268__pixel_stretch_loom.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_268__pixel_stretch_loom.mp4,12.92,,,
269,black_matte_echo_stage,O_251_275,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/269__black_matte_echo_stage.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_269__black_matte_echo_stage.mp4,26.63,,,
270,wire_damage_prism,O_251_275,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/270__wire_damage_prism.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_270__wire_damage_prism.mp4,19.35,,,
271,slit_scan_anamorphic_wall,O_251_275,scan_waterfall,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/271__slit_scan_anamorphic_wall.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_271__slit_scan_anamorphic_wall.mp4,9.53,,,
